,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,blackassign0003,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,12,2,0.714285663,0.036842105,10.61290323,0.498480243,4.444553388,7.408385093,164,326,2.7875,2,7.279141104
2,blackassign0004,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,63,30,0.354838706,0.0828877,11.69047619,0.573319756,4.905518378,7.408385093,563,982,2.839958159,4,7.466395112
3,blackassign0005,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,44,25,0.275362315,0.074034335,13.19672131,0.62484472,5.528626413,7.408385093,503,805,3.082278481,14,8.226086957
4,blackassign0006,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,43,73,-0.258620687,0.126637554,14.21428571,0.600502513,5.925915291,7.408385093,478,795,3.011583012,5,8.08427673
5,blackassign0007,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,26,9,0.485714272,0.057755775,12.2,0.524590164,5.089836066,7.408385093,288,549,2.845724907,7,7.632058288
6,blackassign0008,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,91,28,0.52941176,0.081955923,13.35789474,0.609141056,5.586814317,7.408385093,773,1266,2.979919679,7,8.052922591
7,blackassign0009,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,29,40,-0.159420288,0.091511936,10.68253968,0.530460624,4.485200123,7.408385093,357,673,2.726998492,2,7.424962853
8,blackassign0010,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,36,10,0.565217379,0.059585492,12.38461538,0.638198758,5.209125657,7.408385093,411,643,3.240589198,4,8.203732504
9,blackassign0011,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,41,47,-0.068181817,0.099435028,12.29032258,0.628608924,5.167572602,7.408385093,479,761,3.038718291,3,8.198423127
10,blackassign0012,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,65,67,-0.015151515,0.126923077,10.77011494,0.583778015,4.541557183,7.408385093,547,934,2.922234392,9,7.970021413
11,blackassign0013,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,66,19,0.55294117,0.077343039,13.625,0.615698267,5.696279307,7.408385093,604,980,2.990566038,3,7.875510204
12,blackassign0014,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,81,23,0.557692302,0.088737201,12.49438202,0.598021583,5.236961442,7.408385093,665,1112,3.039055404,3,7.706834532
13,blackassign0015,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,44,14,0.51724137,0.114851485,16.34482759,0.624472574,6.787720064,7.408385093,296,474,3.086580087,4,7.85443038
14,blackassign0016,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,27,28,-0.018181818,0.065243179,9.858974359,0.531859558,4.156333567,7.408385093,409,767,2.746612466,4,7.259452412
15,blackassign0017,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,39,28,0.164179102,0.071352503,14.01587302,0.553793884,5.82786676,7.408385093,489,881,2.798843931,7,7.457434733
16,blackassign0018,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,39,28,0.164179102,0.071352503,14.01587302,0.553793884,5.82786676,7.408385093,489,881,2.798843931,7,7.457434733
17,blackassign0019,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,49,13,0.580645152,0.071019473,11.47826087,0.541666667,4.807971014,7.408385093,429,791,2.829427083,6,7.496839444
18,blackassign0020,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,38,11,0.551020397,0.056321839,14.2037037,0.597131682,5.920334154,7.408385093,458,765,2.942204301,2,7.671895425
19,blackassign0021,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,64,7,0.80281689,0.060169491,10.7,0.553271028,4.501308411,7.408385093,592,1064,2.786389414,5,7.528195489
20,blackassign0022,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,14,1,0.866666609,0.033936652,13.72413793,0.512562814,5.694680298,7.408385093,204,398,2.793367347,2,7.396984925
21,blackassign0023,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,27,47,-0.270270267,0.089049338,13.65454545,0.584553928,5.695639753,7.408385093,439,748,2.849056604,7,7.601604278
